2024-05-06 14:27:23,944, Logistic Regression, Replication: 0, Accuracy: 0.9825, F1: 0.9831, ROC AUC: 0.9990,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9831
2024-05-06 14:27:25,668, Random Forest, Replication: 0, Accuracy: 0.9650, F1: 0.9645, ROC AUC: 0.9937,  Params: {'max_depth': None, 'n_estimators': 50}, f1-score: 0.9645
2024-05-06 14:27:25,722, Logistic Regression, Replication: 1, Accuracy: 0.9650, F1: 0.9648, ROC AUC: 0.9893,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9648
2024-05-06 14:27:27,060, Random Forest, Replication: 1, Accuracy: 0.9476, F1: 0.9492, ROC AUC: 0.9924,  Params: {'max_depth': None, 'n_estimators': 100}, f1-score: 0.9492
2024-05-06 14:27:27,116, Logistic Regression, Replication: 2, Accuracy: 0.9685, F1: 0.9703, ROC AUC: 0.9976,  Params: {'C': 1, 'max_iter': 10000}, f1-score: 0.9703
2024-05-06 14:27:28,900, Random Forest, Replication: 2, Accuracy: 0.9545, F1: 0.9544, ROC AUC: 0.9955,  Params: {'max_depth': 10, 'n_estimators': 200}, f1-score: 0.9544
2024-05-06 14:27:28,976, Logistic Regression, Replication: 3, Accuracy: 0.9825, F1: 0.9826, ROC AUC: 0.9955,  Params: {'C': 1, 'max_iter': 10000}, f1-score: 0.9826
2024-05-06 14:27:30,292, Random Forest, Replication: 3, Accuracy: 0.9720, F1: 0.9710, ROC AUC: 0.9989,  Params: {'max_depth': 10, 'n_estimators': 100}, f1-score: 0.9710
2024-05-06 14:27:30,370, Logistic Regression, Replication: 4, Accuracy: 0.9720, F1: 0.9726, ROC AUC: 0.9920,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9726
2024-05-06 14:27:31,767, Random Forest, Replication: 4, Accuracy: 0.9755, F1: 0.9753, ROC AUC: 0.9953,  Params: {'max_depth': 10, 'n_estimators': 100}, f1-score: 0.9753
2024-05-06 14:27:31,847, Logistic Regression, Replication: 5, Accuracy: 0.9825, F1: 0.9825, ROC AUC: 0.9971,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9825
2024-05-06 14:27:33,589, Random Forest, Replication: 5, Accuracy: 0.9860, F1: 0.9848, ROC AUC: 0.9991,  Params: {'max_depth': 20, 'n_estimators': 200}, f1-score: 0.9848
2024-05-06 14:27:33,670, Logistic Regression, Replication: 6, Accuracy: 0.9860, F1: 0.9869, ROC AUC: 0.9987,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9869
2024-05-06 14:27:35,083, Random Forest, Replication: 6, Accuracy: 0.9476, F1: 0.9477, ROC AUC: 0.9943,  Params: {'max_depth': None, 'n_estimators': 100}, f1-score: 0.9477
2024-05-06 14:27:35,171, Logistic Regression, Replication: 7, Accuracy: 0.9685, F1: 0.9699, ROC AUC: 0.9921,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9699
2024-05-06 14:27:36,595, Random Forest, Replication: 7, Accuracy: 0.9580, F1: 0.9562, ROC AUC: 0.9925,  Params: {'max_depth': 10, 'n_estimators': 100}, f1-score: 0.9562
2024-05-06 14:27:36,705, Logistic Regression, Replication: 8, Accuracy: 0.9755, F1: 0.9751, ROC AUC: 0.9973,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9751
2024-05-06 14:27:38,439, Random Forest, Replication: 8, Accuracy: 0.9685, F1: 0.9686, ROC AUC: 0.9948,  Params: {'max_depth': 10, 'n_estimators': 200}, f1-score: 0.9686
2024-05-06 14:27:38,516, Logistic Regression, Replication: 9, Accuracy: 0.9685, F1: 0.9675, ROC AUC: 0.9918,  Params: {'C': 10, 'max_iter': 10000}, f1-score: 0.9675
2024-05-06 14:27:39,703, Random Forest, Replication: 9, Accuracy: 0.9650, F1: 0.9640, ROC AUC: 0.9964,  Params: {'max_depth': None, 'n_estimators': 50}, f1-score: 0.9640
